,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiA3B3_rep5,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep3,6803_WT_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA1B1C1_rep4,6803_WT_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_WT_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiA3B3C3_rep5,6803_WT_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7.199722222222222,0.6218818425369308,-0.4504934761628396,0.1433960951380887,-0.21315111126229827,-0.6510446826748988,-0.30324684636257215,-0.34437892077634136,0.22191780957217822,0.6409370604186893,-0.4851586277029675,0.08369585190621387,-0.3022406215547947,-0.41478472775658826,-0.040314499661631156,-0.37059261656471176,0.24042823829373494,0.6415503010466796,-0.4541830550605582,-0.05204871347970903,-0.6831102810107059,-0.49333112792082745,-0.3876877740854347,-0.4013019901489445,0.6563783980009457,-0.48669947041148376,-0.3019005123673201,-0.7154249444015333,-0.25788561810828126,-0.4886604233072737,-0.38986465903081713,0.6444795908993236,0.09145235752257874,-0.2703983055786278,-0.6421173183149174,-0.47027917829552096,-0.37199226748972897,0.2675658281570138,-0.3239429263583317,-0.16036378180438954,-0.34494762364294057,-0.3932355668219829,-0.32804488001330784,-0.35112375250232686,0.2038865186330817
87,7.283055555555555,0.5836259059839093,-0.5099507353933801,0.0930643110050649,-0.2849328776909491,-0.7252730195773038,-0.37594438992335283,-0.4151888717954702,0.22336239333584848,0.6134919119710736,-0.5426607230001266,0.05793692099570329,-0.3667350510505506,-0.49824396852070096,-0.1145510016123911,-0.43703110105591414,0.24297909628428604,0.6041800514327951,-0.5083807536230612,-0.0801032132686728,-0.7613139703533809,-0.5713670038949297,-0.4583692323939907,-0.4586264245332017,0.6091012487627567,-0.5508623748181578,-0.369830566470548,-0.7637454151316767,-0.34080393271041143,-0.5530059017976314,-0.46081284503244513,0.6138830911184456,0.06143190050137788,-0.3367593643719322,-0.7039464350334939,-0.5484123364608222,-0.44327046080752464,0.2720473506620583,-0.37559990124290454,-0.20996197870946126,-0.39797623384257697,-0.45999869818635963,-0.41441700913611873,-0.41836257922877185,0.19498870595197346
88,7.369166666666667,0.5425317931896088,-0.560136041964277,0.06085318173715979,-0.3449548351265625,-0.8048267584027938,-0.44562422476200225,-0.4764750676030289,0.2265885611029302,0.5791999007970372,-0.5947036823906383,0.028439881326784967,-0.43330882653597746,-0.5739507548472529,-0.1951512911601521,-0.5043753244109883,0.24798471717747467,0.5679635647407286,-0.5602752614709093,-0.10406934794164976,-0.8374284799023822,-0.6492032419767056,-0.5302285481740738,-0.5208540650299942,0.573349838698545,-0.6071453218154597,-0.42842816067458156,-0.8165161885066741,-0.4215708562520734,-0.6203480898721242,-0.5240707039749091,0.5810267930256716,0.032889160444637036,-0.4087563300126856,-0.7664862123949685,-0.6248084270241887,-0.513565221957734,0.26943580018814645,-0.4250527696038957,-0.25842471582727533,-0.46345733901906505,-0.5279114596726,-0.4963821999517595,-0.4877667105998309,0.19223901382144973
89,7.4525,0.5052025483581646,-0.6234487832332161,0.029962659470244443,-0.40921711929806326,-0.8767069563903787,-0.5102866712078613,-0.5410374817720108,0.22439695110249155,0.537864067386921,-0.642486831246247,-0.00379502309952706,-0.4973617181693206,-0.6569050531706285,-0.2719147694287575,-0.5710251355400232,0.24664529402986196,0.5301039824529095,-0.6130661177014165,-0.13434730898426575,-0.9170544400013503,-0.7226400427242052,-0.5966660253027629,-0.5851846269806498,0.5357274591112233,-0.6699477305088017,-0.495893211531548,-0.8653367838259742,-0.5043852462728665,-0.6860877728690239,-0.592438014104164,0.5389138876700914,0.0048243802247590305,-0.47478916590659476,-0.8275364930321248,-0.7006673793276119,-0.5854766145011663,0.27693092834427535,-0.4803007356867791,-0.30555179176377256,-0.5293911451897783,-0.5859721422323863,-0.5695395293404337,-0.5597354371793326,0.1892371148443472
90,7.535833333333333,0.4742412083777397,-0.6758883485379402,-0.017607304163149526,-0.4715198661517761,-0.9523146685874615,-0.5817320496880362,-0.6082760884845211,0.22318820037917314,0.4998874450304953,-0.6948094969745866,-0.03596754919478521,-0.5636934972165766,-0.7297068307290738,-0.342240839120172,-0.6281803841109468,0.24676101961268776,0.48580443850932853,-0.6665528630445088,-0.16293728732569002,-0.9933924803071991,-0.7968776069559541,-0.6642819677001466,-0.6444178269508046,0.48823739347070316,-0.7258690218351433,-0.5558256363646791,-0.9212067207628682,-0.5934459632872552,-0.7506257344348516,-0.6541145546651429,0.49754755857934946,-0.02416219827900066,-0.548657836358559,-0.8874971200408814,-0.7757891235204486,-0.6520047025535225,0.27093248748557286,-0.543743005665606,-0.3657430061015591,-0.5875778581347232,-0.6471790408417128,-0.6390880766393164,-0.6192680516843656,0.19078268238409193
91,7.619166666666667,0.43185080282052535,-0.7328541291962505,-0.05145675803382954,-0.5364632118514269,-1.0226509478498347,-0.6481606807274003,-0.6679908625317708,0.22596294479318269,0.4574730598169594,-0.7456710090191805,-0.06507745478310634,-0.6293039360514971,-0.8043560555647008,-0.41912890451448226,-0.6922409205495252,0.24333208641187404,0.44246805930753685,-0.7139350398627224,-0.18443947333862892,-1.0570432297901171,-0.8639161357509569,-0.726476679329322,-0.7085533827304061,0.44628291741389703,-0.7785086185629968,-0.621225353268315,-0.9719255193644908,-0.6673518707845619,-0.809562756524376,-0.7137001059017606,0.4627309817596485,-0.054070334180533884,-0.6133623065726685,-0.9453679369802988,-0.8493735905594251,-0.7157495507853948,0.2640402307133001,-0.5935787876430085,-0.4145981593999053,-0.6426176833965378,-0.7067304545008826,-0.7186269236425485,-0.6805638489852801,0.18487539056469543
92,7.7025,0.3844343539427417,-0.784145518506005,-0.07198575151594339,-0.5916472927781402,-1.0927168448416813,-0.7109728849485888,-0.736181779314081,0.22912181902029952,0.4160239306349438,-0.795870698859442,-0.10412449860117513,-0.6929928081555856,-0.8800526965234837,-0.48197837146989636,-0.7502065960393651,0.24135868662802346,0.39529796370264536,-0.7584121921512057,-0.21645405683932917,-1.1258073167335723,-0.9405558304486945,-0.7908504641963956,-0.7709910133337087,0.3994672987447153,-0.8236659452924193,-0.6806922811078999,-1.0200927000518214,-0.7465018352289723,-0.8670996194006151,-0.7747944490569071,0.4236673256957461,-0.08689978758688185,-0.6785025426522076,-1.0079487878725721,-0.9236207122086311,-0.784511224422267,0.2614539118748467,-0.6398072916501953,-0.4623170531947479,-0.7007108262804923,-0.7652246862345096,-0.8137551546012416,-0.7464221261056885,0.18291491427075768
93,7.785833333333333,0.34359487668463495,-0.8325619117451185,-0.11419433448697913,-0.661472245530442,-1.1597134080355749,-0.770968983072004,-0.7942488148408798,0.23166545655187412,0.3703430691725077,-0.8484079000106735,-0.12850844029824182,-0.7547598881180992,-0.952996723255261,-0.5451886474227423,-0.8070772625219116,0.2380410121764202,0.35109726300732463,-0.8039838655377165,-0.2447812270875775,-1.1886853687343049,-1.0095968926491254,-0.8510036263504848,-0.8289304389992793,0.35159379743407093,-0.8713404284550206,-0.7488263395199839,-1.0733077836196838,-0.8122947260595317,-0.9238371016348348,-0.8303973663724562,0.3831597513509583,-0.11565031959823374,-0.7418785115996513,-1.0656395172030373,-0.9935304210395246,-0.8474897892445139,0.25877328556373685,-0.685627729646956,-0.5076994899986854,-0.756857491854488,-0.8260600430915204,-0.8838718562234753,-0.8106421822224633,0.17610092914746545
94,7.869166666666667,0.3005353786704792,-0.8741027061715636,-0.14348255732776333,-0.7275382069242565,-1.22364168371248,-0.8337492959158131,-0.8555919457307041,0.2347944896948247,0.33803347991714183,-0.8970819480240677,-0.15702904043612229,-0.8160049516360479,-1.021788106213736,-0.6147591413874699,-0.8664527726964497,0.2351792546870285,0.3076690609918052,-0.8574496072826256,-0.26842117278669914,-1.2570780127023324,-1.0770395242126867,-0.9105364698837143,-0.883571381189991,0.3014656656198746,-0.9215314963139578,-0.8144274489122256,-1.114370291236745,-0.8877294156901473,-0.9781759801065503,-0.891308641089258,0.3404114121671571,-0.15112169230792674,-0.8086901813166678,-1.117839969920167,-1.0639026504309321,-0.9102853115873997,0.2503981071196249,-0.7262393155216588,-0.5569452733009856,-0.8312578849490598,-0.877034836145149,-0.9433761176742983,-0.8720233186657391,0.16963311160059175
95,7.9525,0.24905886020857748,-0.9215673010233711,-0.17345047092246413,-0.7840453139929091,-1.2799027159617518,-0.8969141443959481,-0.9026111492111991,0.23070954957164025,0.2962981601557657,-0.9404921804867077,-0.1876860604891991,-0.8739277755141959,-1.0942268166564735,-0.6754892639566514,-0.9287329800201048,0.2387736055044939,0.26061645388387944,-0.9024089662789139,-0.2907740820835604,-1.3171858748609488,-1.1414839272602917,-0.9714492989312196,-0.93511356259303,0.2562861476070377,-0.9604385789639368,-0.8714955304633885,-1.1546797444455152,-0.9462047795095861,-1.0403170300035252,-0.946328057447142,0.30282545406477157,-0.17631366880244725,-0.8723375206041168,-1.1597499914355731,-1.1377373345690454,-0.9678978583410818,0.2517281326282965,-0.7690412650912488,-0.6012542075675773,-0.8949122101573744,-0.9327473804929436,-0.992867030575728,-0.933364838918911,0.16711113879649941
96,8.035833333333333,0.2053683142912605,-0.9547550975186276,-0.20169812665858766,-0.8465937039871247,-1.3452975466811345,-0.959263849526105,-0.9547064031191198,0.23161126612038066,0.2503400999747293,-0.9916379370215659,-0.22427926284442018,-0.9261281376650587,-1.1681128266449043,-0.7265784273009797,-0.9775177387078402,0.2404242556881433,0.2091425303688976,-0.9524614930521731,-0.3120401425685665,-1.3834095807467226,-1.205130304173332,-1.0315424176711432,-0.9911567071198897,0.21325847986747065,-1.0040611083312134,-0.9268305061233411,-1.1966356651623502,-1.0159196958814771,-1.0962610248217712,-1.0056554006849185,0.2632050154427869,-0.2006260131614282,-0.9366204991620509,-1.2105694276240038,-1.2066344084474223,-1.028527496950608,0.24996311892166875,-0.8094327961012524,-0.6542260982410559,-0.9566206718352305,-0.98579599525676,-1.050943689006751,-0.9926660486186355,0.1615346886621354
97,8.119166666666667,0.1690667265948873,-1.0000654988554776,-0.22082557642698114,-0.9037835143750291,-1.4068272155767652,-1.0185987324177457,-1.013677685900328,0.2379002680946764,0.2037622822598114,-1.031518559287505,-0.25020841080130063,-0.9852058171089059,-1.2326461090443224,-0.7878260451692694,-1.03420690373246,0.2389313960119835,0.16505037158977187,-0.9966067397606074,-0.33541954127566354,-1.442149755209499,-1.2739788575936761,-1.0868161303246402,-1.0437005399063737,0.1643858910400836,-1.041198518173593,-0.9810322986130597,-1.2346375756774486,-1.0874730461443094,-1.1562087363655493,-1.059290457040377,0.2277532271787438,-0.22145849045765248,-0.9949390875897154,-1.2564981248233469,-1.2721938078669899,-1.0823742954159163,0.24610282357779045,-0.8542131282257732,-0.7050607517406811,-1.0057834741010578,-1.031379003582767,-1.1102051895033227,-1.0509262555548293,0.16290343988503606
98,8.205277777777777,0.12015707547984344,-1.0462979102121222,-0.24563287262182976,-0.9650148828421485,-1.4672927601631698,-1.0779191142800975,-1.0665249766097933,0.24177718306372534,0.15876768269622166,-1.0723333909792765,-0.2722732685719198,-1.03736059397376,-1.302026637523885,-0.8580315328884554,-1.0906003308246053,0.23409521696470328,0.11074305114697322,-1.0364442601950303,-0.35311246468233515,-1.5020070224123971,-1.3386297904236701,-1.1444707411558728,-1.0979447873125938,0.12387160193078717,-1.0886502440804295,-1.0485008314246245,-1.2730849986548525,-1.1488637146114344,-1.2105609347473698,-1.114233013750285,0.18007321262874162,-0.2518108667570498,-1.0556932573855478,-1.3067359298346277,-1.3416154694360403,-1.1358383222918373,0.2353470049208413,-0.8935814830674947,-0.7493579754623791,-1.06160082083592,-1.0780947326414423,-1.1612506310583668,-1.1049447696706722,0.16341707191332502
99,8.288611111111111,0.07344233199054212,-1.0930517387468224,-0.27632006814066057,-1.0180879472914066,-1.520695215763265,-1.1316253164201524,-1.1118482549115962,0.24364263741229714,0.1135592697685984,-1.109681777827523,-0.3014736012809241,-1.0889922494953979,-1.3726543865566128,-0.9327943073635949,-1.1442978764727596,0.2345159087496716,0.0602236350985339,-1.0775736097788688,-0.3785190987096072,-1.5493820058318133,-1.4038833058261373,-1.1937065544720127,-1.1458891769229755,0.0773188255124926,-1.1364157234726249,-1.1072360288212235,-1.3113774571324488,-1.2192905885710639,-1.2633183883879893,-1.1692828590503903,0.1381680876274364,-0.28548290911869956,-1.1130829809471772,-1.3488826899220103,-1.4064993305702322,-1.1939196466880921,0.23109542202113334,-0.9357370841576786,-0.7971175777787388,-1.1064729156835127,-1.1275415136275753,-1.2200791151217762,-1.1663209030626036,0.1626752649557126
100,8.371944444444445,0.029125459855425327,-1.1305263935978935,-0.2994872163843392,-1.0702028458431292,-1.5752356155083587,-1.1851176602426674,-1.160847501078923,0.24889725634073223,0.07094000476101249,-1.1545630675987766,-0.3282091749655266,-1.1369005660173472,-1.4389293314193918,-1.0005137870778669,-1.194699397923244,0.23279366128493897,0.016495181960045197,-1.1139943455681593,-0.4006396287220425,-1.6048753282574202,-1.4665396072243797,-1.2469238746232416,-1.189333437546249,0.03613076692510891,-1.175494395602632,-1.1664378158371516,-1.3463144745219675,-1.2827525582862704,-1.3104818640164142,-1.2212397821754184,0.09304096048803862,-0.3078743855948282,-1.1759082315714244,-1.3933382528127956,-1.470045329492593,-1.258018338269292,0.23574783469510965,-0.9768791569561656,-0.8447393680390141,-1.1561999620501608,-1.169317681760265,-1.2978897456004135,-1.2256539699803244,0.15207769998149684
101,8.455277777777777,-0.01959058451303623,-1.1725212858837097,-0.33013437125707057,-1.1181597168350421,-1.6261149903381504,-1.239596467250165,-1.2095226959940695,0.25094166386494077,0.02171284175696192,-1.1919766100954585,-0.3540797565755057,-1.1878853269908898,-1.5008514481929707,-1.0585893920925709,-1.2430047531802195,0.2317286642032365,-0.03263925729533983,-1.1467060262515496,-0.42347423952774615,-1.6538876117921646,-1.5237988983021737,-1.3017230060027503,-1.233877299215456,-0.0074893765244537355,-1.2088857015544523,-1.2297061182778077,-1.3786955746089817,-1.340048516994988,-1.361652126669899,-1.2695035733590767,0.040894932002317634,-0.3403850652308118,-1.235568983454304,-1.4313024666974232,-1.5312534052335154,-1.3057344672549405,0.2353040035053441,-1.019006928851376,-0.8918231565691255,-1.2013821631048256,-1.213221576282923,-1.3548816288581087,-1.292343286826797,0.14222405872056199
102,8.538611111111111,-0.0673028520183458,-1.2092358287027014,-0.3536615871664007,-1.1713586988222708,-1.6709343690007277,-1.2876620590429324,-1.2600738211484404,0.24337648281640106,-0.027119272360624315,-1.2337217571558803,-0.38428511397320597,-1.2371463169750618,-1.5546207137619614,-1.1262205440471287,-1.295813801005686,0.24372110685197518,-0.07937663923691049,-1.1817082121502982,-0.44582311537836083,-1.70961947785227,-1.581061383003777,-1.3505042530467382,-1.2831204931879476,-0.05053841536228571,-1.248589084243637,-1.2798408627196978,-1.409920281552911,-1.3969773609100122,-1.4086299396939488,-1.3218740238340505,-0.004866904559402002,-0.3696147180651729,-1.2852652116910213,-1.4727751802294708,-1.5897234976307593,-1.3544681044194313,0.22536368976054222,-1.054919629160307,-0.9375687546716571,-1.245019721779097,-1.2574515404632702,-1.4152538737156612,-1.341988172158245,0.13431402366338047
103,8.621944444444445,-0.11280840087997707,-1.243469437133358,-0.3706689190232144,-1.2161999305773405,-1.7212947780525703,-1.3367147573190206,-1.306500858642548,0.2418023348421628,-0.0745533979093876,-1.2721978626542438,-0.40882501593353743,-1.2830833216366515,-1.6092371058148416,-1.1920066661590818,-1.3383264009194842,0.2431711782932489,-0.1291139279763934,-1.2184004652182754,-0.473486439969071,-1.7600715471672352,-1.6419272655339223,-1.402267920234415,-1.3334627519453857,-0.09061316794747779,-1.282203988417285,-1.3260419765104348,-1.440388119887017,-1.4591379892189975,-1.4606160647423148,-1.375750925832004,-0.054041463448237806,-0.39376311512958395,-1.338996892275976,-1.5119562425256547,-1.6348555473294513,-1.4016193210920513,0.2229266555155424,-1.0938164891285362,-0.984175974625858,-1.2995128407671985,-1.3026059215933388,-1.4732055914508395,-1.3933879466841537,0.13114727806101212
104,8.705277777777777,-0.1565042966333771,-1.2778215282342238,-0.3873564222417364,-1.2506835510901764,-1.7721972418585485,-1.3839548838742468,-1.3564037911860136,0.24401984040484653,-0.12058660240753863,-1.30540428250064,-0.4296992321439772,-1.3318961277501997,-1.6635006028439507,-1.2441471832240945,-1.3849424131992925,0.2384790673038315,-0.17644809516795706,-1.254782349041963,-0.4908643964385996,-1.809444439779836,-1.6889967503578203,-1.4472143120879997,-1.37670380919374,-0.13391046047211955,-1.316729860654045,-1.3797093877687365,-1.4774986145184057,-1.5091293040844613,-1.508611261776998,-1.4221340725835816,-0.10442566643675129,-0.41963002844886477,-1.3851640021027583,-1.5484455031658286,-1.6826494957820861,-1.447388189156975,0.2219926635713124,-1.1284967419302205,-1.0298446296876422,-1.3398617225259863,-1.3386830709894704,-1.5189358957983812,-1.430341933267268,0.12872350592510384
