,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiA3B3_rep5,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep3,6803_WT_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA1B1C1_rep4,6803_WT_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_WT_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiA3B3C3_rep5,6803_WT_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0191666666666666,1.1393253603316646,2.867402557838157,1.4407075995423408,3.148862562432288,5.060690859033191,3.022444945602936,2.721634439594172,-0.7569593475462403,0.7225719323070813,2.8725593686627824,1.1756321616500756,2.807429638469088,3.634205027359499,2.9935894544996864,2.640698163124753,-0.8394156277038894,1.031106076645966,3.0553670278856737,1.026130607546825,4.877865943083249,3.8024383979098215,2.9975297618336545,2.515309930881786,0.9177460311788552,3.225434529655579,2.8392828126242793,2.979710272739127,3.7587642659364144,2.657391776637546,2.9593671780331654,0.9680973211912604,1.9549724183968278,3.292402779005068,3.8045142775248197,3.5688386645082497,2.9782399096020047,-0.5385697320402415,2.6341462113344987,1.801787638911396,3.074696014911225,3.5775487903818752,3.808644589755969,2.41007782076748,-0.37449250801957007
37,3.1025,1.3954655478126734,3.7320176496073807,2.026456712295291,3.0383182608508323,4.564123086310691,3.1495053865390985,2.6258387506048027,-0.36995273574733056,0.7607467645594476,3.018035978400311,1.249403960073242,2.6915441199000583,3.5697507706263845,3.192972163169616,2.6946791390496254,-1.105849717277696,0.7910460873948864,2.876515913031036,0.919373626384178,4.885714514256064,3.7161948760620587,2.9790047778618107,2.7736401779552313,0.8397426810985751,3.1477089606633717,3.091404094192089,2.9997366010633337,3.542709254269462,2.563156218458822,2.766318058642458,0.6125388137418443,2.015899329582929,3.255475602076468,3.49135066797206,3.4617146940889123,2.9689179872470763,-0.6633777768121377,2.4701289381605447,1.7780307496755265,2.6594260168042037,3.251115677440644,2.757326476608396,2.360469288698777,-0.029609723150953633
38,3.188611111111111,1.070808488672608,2.6964720995910434,1.8421282724861694,2.917740237758142,4.427684756032666,2.9665992804855335,2.589964810804307,-0.49319748934455043,0.938115979760331,3.023335997325025,1.4730245261152717,2.6155666089663185,3.665246385805872,2.6421596317402014,2.188546028865502,-0.6124389271529401,1.2301757159348312,2.7775433036439177,0.8925151264404784,4.543684254047021,3.3799606212880176,2.9805169290559452,2.671851725559181,1.0608931760381397,3.0598324963009906,2.633452821494561,2.8594884037336934,3.516345673426266,2.6489647632646083,2.7731471449051135,0.8361539333569342,1.6066907976498823,3.1685096766333296,3.448068077458689,3.574523368659457,2.6295820075533616,-0.36826574432823816,2.3258741719919582,1.9741982322072327,2.5641139935445803,3.384243725631897,2.665766792265996,2.470657867795989,-0.6147617401293376
39,3.2719444444444443,0.9953575892562265,2.8307666184442817,1.427722257166229,2.9071283681865796,4.181374702475428,3.0337263119522873,2.664012676770571,-0.41669291147955556,1.2846829748282766,2.8284602008417514,1.2664941489491681,2.5894973903433964,3.4506919462548207,2.931152537204684,2.452299021175335,-0.3891830501497146,0.9884984770990115,2.8284497414412124,1.1155548886853448,4.3717744981195334,3.5737354459232447,2.9320659136678917,2.599944918955659,1.061201195033978,2.9118058081247318,2.8254291161492833,3.04896617995614,3.549674813122814,2.5248165419749498,2.5098547080246654,0.9689462433970507,1.167347114630921,2.9715050837800114,3.3946666862771653,3.347264798842546,2.820231934427179,-0.27323391991306506,2.2513828040477817,1.8502903362454683,2.5587597273653127,3.0969348432073143,3.3439665814686044,2.470644374081683,-0.48994892400098294
40,3.355277777777778,0.9091162485922804,2.714901914842225,1.8032386428832208,2.7164825269511144,4.005191762106951,3.0108861653515446,2.417982404472386,-0.46043830647839223,0.840451139481322,2.7534093623193505,1.1198131168354208,2.6033367475991014,3.55608752452629,2.719951554978041,2.5359383038242664,-0.6160818793734996,1.1860178781782167,2.8592357665072905,1.0384926946447517,4.399984582823931,3.4075191620429277,2.843651429906608,2.4179201021823093,1.0706704092895238,2.923629565859293,2.927333099002826,2.78817042856251,3.6526979601002916,2.550710687201608,2.6564410182056584,0.9309192997012817,1.1378685715661658,2.8444619037215326,3.5211466742570425,3.279939094453497,2.760867731219898,-0.5482825881450254,2.4166557236187343,1.7063073105525641,2.5433630007366754,2.9291909343943057,3.3319268864989886,2.4704296214251364,-0.39517163905149616
41,3.438611111111111,1.0920878583936224,3.5788786954798675,1.3486774056817605,2.625802588649367,3.9891347735867178,2.768078524997898,2.4718740492693345,-0.41443297985160876,0.9254238562368663,2.7881842530908805,1.272981717121955,2.6470849631934215,3.5414331923694387,2.86855735889718,2.4494640638995544,-0.3931352082150887,1.012737418920733,2.6499019172938256,1.1413283264012857,4.278313845197131,3.451311581461607,2.8252731759378737,2.5457776180525418,1.0693044821751316,2.4853044373978355,2.769164890130557,2.7471016480110544,3.7254163981249713,2.3866463332481302,2.6029063446536505,1.1820766505872713,1.0682554585025554,2.727380215763896,3.287508220764525,3.5325463645002495,2.7614893607280724,-0.44341203285632685,2.5116938180667914,1.8022494029140896,3.1979235963662656,3.20101389939591,2.729648747182947,2.4700144215425546,-0.36043024880596747
42,3.5219444444444443,1.21427580305706,2.462697665072208,1.2440385211029277,2.505088427661423,3.7632025777659144,2.8753030751079875,2.585687665912022,-0.4686762382940918,1.0096045004117309,2.6027856424534455,1.2060002362440556,2.5207423184786393,3.3967290207294663,2.7169706212209968,2.3128764877306334,-0.7403428303505882,1.238660591532448,2.6504487306199644,0.8140615665938563,3.956761622962814,3.4051125157335034,2.606930849884613,2.5035178081553813,1.147107069228288,2.626831088802013,2.970924608836785,2.7757603363860577,3.4978314079882944,2.652622616109788,2.4692509555752515,0.9924218368512586,1.1685080644938848,2.7502600983138117,3.1637515047027622,3.1250867171833514,2.5020967851933253,-0.5886225371330739,2.4364979728253813,1.5881168601391276,2.3024412971991945,2.862405634390931,2.547133200889332,2.3493995839966537,-0.11572511602882558
43,3.605277777777778,1.145683459663527,2.3263595263541483,1.2193219641846067,2.4743399181501107,3.927394017687296,2.5525594998008585,2.5994233085418474,-0.38316738968525266,0.8729964401222127,2.60721429766834,1.1888689597245203,2.5743090936993127,3.3619750797478356,2.815192012630052,2.466175760889129,-0.42770453974143047,1.2937908806768348,2.61087674167218,1.0566921984179127,4.025327254531431,3.3389217761522727,2.568624149826612,2.5711410128556356,1.1440818181534,2.4782101843018927,2.8726123736547353,2.5241469913978714,3.2199442675068406,2.448638673473674,2.6754751181780314,1.0819583917679496,0.9586266776007547,2.773101628878829,3.1698767045117253,3.097560259896043,2.512689966302341,-0.3739143833152924,2.3010690713993567,1.6939099280599133,2.33691588641777,2.8933680315337464,2.9043812825300086,2.39858591619706,-0.2010566027240218
44,3.688611111111111,1.246314197977821,2.4698649800805677,1.6445277094612631,2.5035569340607995,3.551707938585215,2.5498474830977016,2.5930810306911414,-0.26790574308882975,1.1856030362840693,2.5014709839608904,1.1015881721735397,2.5377855679921737,3.157171438762091,2.903222202226987,2.2493620681888298,-0.265220130634308,1.0881317634748882,2.6711864840043598,0.9692200056253378,3.794010079000044,3.2027391737510524,2.550352773800775,2.4186475712936915,1.1302323688218978,2.7094423862960104,2.7542283023464935,2.7622621103831912,3.4217562515222903,2.5746936447185007,2.5615790986706095,1.2006898410907014,0.9386115848907578,2.7159048840672946,2.895883998168333,3.1799670992241014,2.5832688651870033,-0.36928785299680283,1.8354079953650482,1.5596288515321428,2.5013471474417623,2.783902978954607,2.8013940245599236,2.0775742233999885,0.1835749298652031
45,3.771944444444444,1.1261713804489342,3.3632147250263054,1.6996557309640732,2.402739349121464,3.5661431878856624,2.737166708921913,2.3966608852831572,-0.1328906087531555,1.1774276426123345,2.265556464520548,1.1141581572887602,2.211172019386268,3.0623181663059564,3.311061857536219,2.4924355936856126,-0.5928893975613255,1.2916867095051543,2.451378489537725,1.2616447725245261,3.6428094361525734,3.066564519302642,2.7521164198008496,2.2060378213857366,0.9755623532722,2.500528355351313,2.5257725119030314,2.3501061903047438,3.123268631901518,2.3807866709148513,2.187563162262638,1.2486197030513837,1.2184630724381618,2.988669939588386,2.821773563186244,3.262307340946067,2.4338334424242962,-0.3547432270253354,2.1395156243701505,1.5252738744347207,2.3257348639283033,2.914012360759265,2.9381724569769836,2.4863653087085247,-0.11183087874387228
46,3.855277777777778,1.725258362209811,2.216409457986041,1.0447060022208259,2.48188703684271,3.2206986152062504,2.4445168610991543,2.1901629246319803,-0.3981212981107779,1.0684736056216957,2.2394715005009025,1.1165791978552917,2.2244687248028328,3.1374153301092487,2.9887116445040527,2.385396520677616,-0.5707121353398498,1.424459180803791,2.3514532885610118,1.043966283980232,3.6117246664595495,3.330397623319254,2.2739147857776705,2.2133120998235842,1.5000753957096906,2.231468750203212,2.517245118544284,2.32767972775146,3.25448267753658,2.2469168948250555,2.103427573164783,1.2257514883603962,0.9181814253242563,2.761396870252009,2.857545576616079,3.0345810900329733,2.3943836580362277,-0.09028078550251178,1.9433928361337705,1.9408452396700293,2.52007881977191,2.8336980570292307,3.114717607322175,2.074959973072435,-0.11727438827339982
47,3.938611111111111,2.2035784910774194,1.999449873774504,1.5096784962560061,2.3509998705176716,3.2253730723561396,2.401897623357408,2.353587200442607,-0.20359712377886063,1.4687442646261013,2.383216851019616,1.2088515757455738,2.2876759600554095,3.1724629970979232,2.7661722274986738,2.3882450317050394,-0.3186881390725524,1.2264526318644584,2.271411409730214,0.966184325413756,3.4007551110783094,3.104238296052682,2.615747569639105,2.0004707420747554,1.4237751125068216,2.3122642277555974,2.5486462377189727,2.254983218938393,2.875399654344485,2.1730834609030794,2.2391725945887693,0.9520887002067812,0.9877669276370041,2.544085749969009,2.563200215045302,2.7867884506485874,2.264919471489984,-0.14590080778374398,1.8670405064464743,1.5463431891637252,2.774378799104411,2.572961943821802,2.5510305006795,2.053359015288219,0.017244042315114266
48,4.024722222222222,1.2811351075527535,2.1523366652263385,1.5645731855907368,2.450077723222154,3.270165413336135,2.5093086793267303,2.4569337638109547,-0.2593173995588932,1.348242951738987,2.3167932731585004,0.8909755719195729,2.3107939998497073,2.967461233394047,2.403444269310159,1.920981308550281,-0.3868172041475226,1.4276705096383864,2.341253380068772,1.0282986828028053,3.2299001118528974,2.6280863474941722,2.4976144692498754,2.177514082382432,1.3166651122030162,2.462915443080866,2.3899759841047827,2.1320171597068205,2.9260208252676216,2.139285515294766,2.334798488747243,1.3976348342580651,1.0872198624713503,2.5167366517509557,2.748737654598219,2.9589295261492774,2.585440841697883,-0.22160357247836954,1.6004595091702098,1.651767963864746,2.398634586295017,2.5618058931697685,1.8071121596759931,2.2215632319991805,-0.30827594517923146
49,4.108055555555556,1.627931544820907,1.825070523196141,1.5293900422428148,2.3891204678145246,3.0050744943386767,2.626749712539558,2.220202665223812,-0.12528144043677736,1.1769729918732048,2.0702015219634595,1.2129514664246457,2.473823117783766,2.762410104315918,2.770528431150512,2.143605532237998,0.014900873761970312,1.3381162535344344,2.2309797249675762,0.7903091426815573,2.9691590113140034,2.8719415873745615,2.369515182431805,2.144442453765551,1.4487489955046629,2.293423049419707,2.301234471608271,1.938782045524065,3.0963474502733357,2.2555222058376714,2.1603055168539704,1.382393378660305,0.9765405119290945,2.6593496477101675,2.6341580709359707,2.6610044190840236,2.0859477270172224,-0.3173893574495538,1.6736507162384298,1.547119803745421,2.192845965950354,2.4502317730818315,2.122963604481695,2.2295734176952173,0.09616529180310478
50,4.191388888888889,1.4439711287508852,2.0176521365583917,1.3841290377266855,2.2681279769357334,3.2700991737478,2.1142204064304706,2.0533939545588313,-0.2814885625829907,1.2549377027410367,2.0534423504445463,1.0747795383956358,2.236763586347834,2.717309674377858,2.467425372653468,2.1761178830348196,-0.20353370130274934,1.167793295418886,1.910590968184729,0.9722154921407119,3.1585311526791724,2.825803825164155,2.2114494069636597,2.32125618801871,1.2200303552852363,2.203787698181393,2.4624218133649296,1.8652783714836836,2.8563807863541593,2.0417926820610646,2.0756939391237275,1.3163678140382105,1.295729157118778,2.591924809059942,2.249461639256626,2.833013231194472,2.3564400852505774,-0.10325843981440824,1.9066149976558533,1.2723989478014526,1.7470127229143906,2.248241447542163,2.8485858528097743,1.717390364713122,0.3805673965824367
51,4.274722222222222,1.3392571778957711,1.8700821922075284,1.3387901430534637,2.4071001230093887,2.735238312139122,2.321720444336344,2.076507681084624,-0.09793808335227304,1.4121403948542388,1.9165165095758048,1.1664600660547293,2.169615676924437,2.602160007290379,2.6141357518748003,2.028518540449667,-0.2321207255856485,1.416705059615748,2.2700876318459473,0.9640175188273398,3.048015879852569,2.479672870072829,2.1734168405812473,2.137955615712146,1.5205127765850834,1.9640100389435906,2.01353812173912,1.901506632305385,2.856122087527816,2.138096095185965,1.8409640147721869,1.0995616134949786,0.8447860781559412,2.1344622061141885,2.164648534295057,2.844956063414899,2.1769178736455306,0.020788904056121164,1.679353221498789,1.4376056340517958,2.1111346422684245,2.4858367765108293,2.6739799199162326,2.0250148632363043,0.17493001323951898
52,4.358055555555556,1.3337930034927263,1.6923613750580648,1.2033733287309385,1.9860367782416293,2.650490772279871,2.0492495094962435,1.8795438934605815,-0.03462932128389916,1.4285843715239162,1.9194247482955311,1.1879933267116527,2.1623796597882716,2.7569611659601914,2.330660225292052,1.9108076832336132,0.20914000438392227,1.324854962906454,1.779470236444163,1.1957150109450576,2.8276125374250807,2.723548531049954,1.995417180977292,1.9945410661918306,1.5801998366117305,1.8340907194524538,2.374583508324011,1.84746732233505,2.74557260483713,1.6344315981252961,1.946116002016215,1.461978242612355,0.9337115541628619,2.4069619082877645,2.209718930323024,2.746833015872242,2.0273810488948047,-0.005247601462696256,1.8118662539148458,1.3727400995387777,1.9052115093311806,2.2330196159233746,2.6691468186003795,1.892447701295037,0.2492527866158282
53,4.441388888888889,1.437581909462889,1.6844903680442462,1.5178785647635404,1.954937814621292,2.5658554191289134,2.1268072850514925,1.9925026397371286,0.04843840389851785,1.3542729288606858,1.712167813506047,0.9993795967634795,2.015055804106325,2.701713212489991,2.3169994478047493,2.172985489379854,0.700248691791412,1.4422464145300864,1.7687393008397205,0.8173077572538355,2.737320470674474,2.607430616784438,2.007450125801548,2.0210128675794596,1.1790951047394929,1.8240303856225273,2.1255580839418005,1.7431609355446234,2.4947335863500166,1.9207983454834832,1.8411501580736351,1.283621159450712,0.7925058632687224,2.1394239840963345,2.214673001149183,2.35864418788593,1.9978295671361739,0.13863176875041733,1.75415495912313,1.287802580328066,2.0592431096587087,2.0997918176912473,1.7640875592042826,2.0396896647662395,-0.056464637686743105
54,4.524722222222222,1.210627192411405,1.6064698521203786,1.1523058206523356,1.8238031039197042,2.441331119836709,2.2043934540456376,1.9453839673554714,-0.06873422871318034,1.2192093557745147,1.8147464500738315,1.0406191516947885,1.8176443779378675,2.4464162081787175,2.383154072734174,2.1450521361237374,0.04120553953688606,1.1888828161832066,1.9278953422604925,0.9287955470702153,2.4971390255650032,2.671318935704687,2.0195153726607846,1.7373713467723935,1.3672021425098153,1.6938296815368608,1.986461958643477,1.6885879655323073,2.1736062771596574,1.6171954935568849,1.9860667391632385,1.3144938145489051,0.9411692826095005,2.001848501156213,2.019510920118964,2.4903896779681967,1.8882633839526566,-0.1675732594370744,1.7162201994141268,1.482793311508676,2.323229229044457,2.0261552297014513,1.9788031496132399,2.06674153737357,0.017777386694448987
55,4.608055555555556,1.532932141627523,1.4583005062607504,1.166655065395096,2.022632517690869,2.3269167437453766,1.8820076994244428,1.6081879231477703,-0.10614654121148469,1.4133969339748853,2.127161400829427,0.9617122660775166,1.50014564823438,2.131070213521482,2.1591247518235996,1.8570077999428485,-0.20798924976492467,1.354767562020055,1.6669388763015516,0.9401781702670954,2.6070675487478194,2.3052132959786715,2.0416126191187023,1.743616829443626,1.3845245036311455,1.7034892494469807,2.137295241709072,1.5137489055224627,2.502191919384253,2.063622200333576,1.910866000504843,1.3645996509243845,0.8697020883280898,2.124235526184743,1.964232860114723,2.4020695838238604,2.1186824543722285,0.14613704058844507,1.2480628351497414,1.0677125271928853,1.6371696535192222,2.0621116958166605,2.283294595255453,1.903604100687442,0.19197850688253607
56,4.691388888888889,1.3545000390844246,1.6599830074594684,1.0909262674862727,1.7014259272713619,2.2326111623885274,1.8596497040359534,1.7309145533370187,0.1262021431266357,1.316838937970649,1.8694134065674937,0.912659213571122,1.8625598808395838,2.0556752882093714,2.3049121352380717,1.758852656556811,-0.07733547378458987,1.429904038652279,1.5058704169254693,0.9914554172739466,2.177105387560756,2.319113505513837,1.9637415626960224,1.6797496400419352,1.1910657339788786,1.5730097297727275,1.928058041647293,1.3186442483654879,2.460491752167152,1.6200776254933018,2.0955481963194025,1.4039421040731328,0.888104555574209,2.0965851249999283,1.9688389935556958,2.0136840023503035,1.6890867328680859,0.09976239618670762,1.7096837247633259,1.182560460516431,2.1510641693511583,2.047663055875368,2.0675628991022257,1.830278134125063,0.23613837076128288
57,4.774722222222222,1.2253341594393954,1.5815180307307435,1.2251193949168648,1.9701832037803118,2.118413249491501,1.9173191506304275,1.9035639035371363,-0.0016875001601993496,1.1995386350700892,1.5415032060468454,0.9534602669223815,1.7248873404894456,2.1902314911298073,2.0605168715646465,1.7005868809275306,0.21316706952199743,1.3642956251491796,1.4946904764622186,0.9526270790766128,2.2672518900283887,2.1430193719572057,1.8959019008704918,1.6257701017917174,1.42682937159545,1.7723917611025888,1.9887504661959128,1.4132744865381006,2.288507011676935,1.576560930407645,1.4701135798287803,1.1825246019697546,0.7363769585044436,1.868897362520608,1.7833294923979426,2.135233029637633,1.669476173358456,0.18330253546351388,1.6510837247596468,1.3173373436382472,1.9049125630458115,1.8528111456916103,1.661609061667887,1.5467644149503137,0.12025662697503618
58,4.860833333333333,1.6854377700336978,1.4129062491085256,0.5692344151746251,1.9089042181195626,2.054321880971164,1.9750157218603672,1.546136018752978,-0.09981479671783454,1.2814992853809508,1.533431535990379,0.9541156979655951,1.8471282908122222,2.164738880366215,2.2359396078120874,1.4622106472590268,-0.056481418086352805,1.3879456930376193,1.3233995656090454,0.8236929472174305,1.9575064048618864,1.8769307026952444,1.8480933310768042,1.7016785366930964,1.5418189466902747,1.4516359801933367,1.8793726223215146,1.0776401121430161,2.2762389311072377,1.6230712781399674,1.5545624032559042,1.4803505650673061,0.8245195702822271,2.0111723027664206,1.637704528134353,2.096716760968534,1.669850729206681,-0.12324281272905763,1.3722636897148588,1.0520434077407297,2.0187146213460916,1.8575577970552426,2.1654340810097756,1.3430637182737932,0.5543329249287167
59,4.944166666666667,1.704814130892711,1.4241483336469207,1.4332712952439888,1.3475888409734185,1.9703359349360785,1.6227391002804918,1.798630943380235,0.37182092662353006,1.41272414181042,1.265199131085088,0.714625777622534,1.6192829943283444,2.2191975131981816,1.8511809894112212,1.5337241289974337,-0.05628073513617331,1.500857606302003,1.181998193430766,0.7546528137952103,1.887868281459317,1.830847304854029,1.7003155507066272,1.4874752655218533,1.6060379816397488,1.4407430219703121,1.8499246162196272,1.0917416169092042,2.053688740676855,1.2596078334452656,1.6288949178246706,1.4074234062974484,1.0125326630778415,1.733410008857897,1.6719642717947667,1.678135290818333,1.7302103532213184,-0.029873918792969908,1.1932244722766283,1.0166788830294886,1.652470131232277,1.7919048377317135,1.0190389527282357,1.6791768170529444,0.20836691478781813
60,5.0275,1.3634664947257102,1.1652449534198104,0.9372300016059878,1.6062369428089371,1.7564542916863293,1.5604889683477634,1.461048721205461,0.0032203418491457817,1.5632164500650185,1.3368067239821264,0.7749907759023003,1.6013517124506083,1.923607446101456,1.7862416602145736,1.3051274988311115,0.10376931956065157,1.4630347213843151,1.4204868673593947,0.935506471465167,1.8983368699054048,1.754768985299091,1.5125682571086618,1.4831606078295199,1.4694899909873032,1.4197135195271846,1.6904065533146337,1.1555794921918199,2.01085766762973,1.4061697627704106,1.7431113737600479,1.3537465310704648,0.7104165080683557,1.7356105430162592,1.36610889394581,1.7294887128549739,1.3505549976558857,0.12340894761605897,1.1539669231638952,0.921243998733605,1.5861788799220016,1.5058540914621612,0.9724246699666972,1.3951044820918632,0.32235824747844916
61,5.110833333333333,1.5513981069260832,1.1761967755211151,1.2711105002383274,1.754848393875608,1.6626758337136398,1.6082650084213495,1.423389395406193,0.05438411976000403,1.3329794486508229,1.1982550452966811,0.7552109619014444,1.433334705483887,1.7979687347478965,2.0711222624967314,1.6164209286905156,0.11366894690700853,1.3044803871840542,1.0888660931944767,0.5562537134390405,1.678911520971594,1.7486955506355568,1.6948511475886012,1.1287348819432754,1.662178481443381,1.3085481041261664,1.5208185382597919,0.8791542289720419,1.95774693623492,1.2427562342538963,1.5272120202880226,1.189323337275107,0.7681713754378093,1.617773966563613,1.2201385646909872,1.8107771199390903,1.5108846142090986,-0.013394482411553216,1.35449189116716,1.2457389831053727,1.1898406548702802,1.3794073779634952,1.665592223411634,1.4708474820413748,0.3763065746873208
62,5.194166666666667,1.4386122055712145,0.9170044650646595,0.8749127566154211,1.25342306420568,1.7189994457013615,1.4160669027627446,1.255653008550755,0.12531292997245436,1.2020163688732646,0.7795448236080823,0.9952866038040369,1.635232232625427,1.8722814340055003,1.905823436954011,1.377604589748372,-0.03658165247958671,1.5451979450583166,1.1871363751028607,0.7368943334850181,1.7195915861159798,1.7026268072079458,1.5671639194091047,1.2341984049659818,1.2841069518853674,1.0472474051979566,1.3311606749373681,0.8324663178573396,1.894357767786695,1.2093664177260948,1.241197105635582,1.4041572152786956,0.6957975343770143,1.729900339922802,1.1340534536707056,1.5520006041238765,1.4911991540247787,0.19971552296063338,1.0048002231482682,0.8901640634205032,1.673455243769481,1.4925665129282417,2.0285426012924552,1.5164065833990996,0.2902115488616785
